2022-34-001,2022,34,1,人間の尊厳と自立,著書『ケアの本質−生きることの意味』の中で，「一人の人格をケアするとは，最も深い意味で，その人が成長すること，自己実現することをたすけることである」と述べた人物として，正しいものを1つ選びなさい。,神谷美恵子,糸賀一雄,"フローレンス・ナイチンゲール（Nightingale, F.）","ミルトン・メイヤロフ（Mayeroff, M.）","ベンクト・ニィリエ（Nirje, B.）",4,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
2022-34-002,2022,34,2,人間の尊厳と自立,"Ａさん（80歳，女性，要介護1）は，筋力や理解力の低下がみられ，訪問介護（ホームヘルプサービス）を利用している。訪問介護員（ホームヘルパー）がいない時間帯は，同居している長男（53歳，無職）に頼って生活をしている。長男はＡさんの年金で生計を立てていて，ほとんど外出しないで家にいる。ある時，Ａさんは訪問介護員（ホームヘルパー）に，「長男は暴力がひどくてね。この間も殴られて，とても怖かった。長男には言わないでね。あとで何をされるかわからないから」と話した。訪問介護員（ホームヘルパー）は，Ａさんのからだに複数のあざがあることを確認した。
訪問介護員（ホームヘルパー）の対応に関する次の記述のうち，最も適切なものを1つ選びなさい。",長男の虐待を疑い，上司に報告し，市町村に通報する。,長男の仕事が見つかるようにハローワークを紹介する。,Ａさんの気持ちを大切にして何もしない。,すぐに長男を別室に呼び，事実を確認する。,長男の暴力に気づいたかを近所の人に確認する。,1,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
2022-34-003,2022,34,3,人間関係とコミュニケーション,"介護福祉職はＢさんから，「認知症（dementia）の母の介護がなぜかうまくいかない。深夜に徘徊するので，心身共に疲れてきた」と相談された。介護福祉職は，「落ち込んでいてはダメですよ。元気を出して頑張ってください」とＢさんに言った。後日，介護福祉職はＢさんに対する自身の発言を振り返り，不適切だったと反省した。
介護福祉職はＢさんに対してどのような返答をすればよかったのか，最も適切なものを1つ選びなさい。",「お母さんに施設へ入所してもらうことを検討してはどうですか」,「私も疲れているので，よくわかります」,「認知症（dementia）の方を介護しているご家族は，皆さん疲れていますよ」,「近所の人に助けてもらえるように，私から言っておきます」,「お母さんのために頑張ってきたんですね」,5,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
2022-34-004,2022,34,4,人間関係とコミュニケーション,利用者とのコミュニケーション場面で，介護福祉職が行う自己開示の目的として，最も適切なものを1つ選びなさい。,ジョハリの窓（Johari Window）の「開放された部分（open area）」を狭くするため,利用者との信頼関係を形成するために行う。,利用者が自分自身の情報を開示するために行う。,利用者との信頼関係を評価するために行う。,自己を深く分析し，客観的に理解するために行う。,2,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
2022-34-005,2022,34,5,社会の理解,2016年（平成28年）に閣議決定された，「ニッポン一億総活躍プラン」にある「地域共生社会の実現」に関する記述として，最も適切なものを1つ選びなさい。,日本型福祉社会の創造,我が事・丸ごとの地域づくり,健康で文化的な最低限度の生活の保障,社会保障と税の一体改革,皆保険・皆年金体制の実現,2,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
2022-34-006,2022,34,6,社会の理解,2019年（平成31年，令和元年）の日本の世帯に関する次の記述のうち，正しいものを1つ選びなさい。,平均世帯人員は，3人を超えている。,世帯数で最も多いのは，2人世帯である。,単独世帯で最も多いのは，高齢者の単独世帯である。,母子世帯数と父子世帯数を合算すると，高齢者世帯数を超える。,全国の世帯総数は，7千万を超えている。,2,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
2022-34-007,2022,34,7,社会の理解,"2015年（平成27年）以降の日本の社会福祉を取り巻く環境に関する次の記述のうち，適切なものを1つ選びなさい。
（注）ＯＥＣＤとは，経済協力開発機構（Organisation for Economic Co‑operation and Development）のことで，2020年（令和2年）現在38か国が加盟している。",人口は，増加傾向にある。,共働き世帯数は，減少傾向にある。,非正規雇用労働者数は，減少傾向にある。,高齢世代を支える現役世代（生産年齢人口）は，減少傾向にある。,日本の国民負担率は，ＯＥＣＤ加盟国の中では上位にある。,4,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
2022-34-008,2022,34,8,社会の理解,"次のうち，2020年（令和2年）の社会福祉法等の改正に関する記述として，最も適切なものを1つ選びなさい。
（注）2020年（令和2年）の社会福祉法等の改正とは，「地域共生社会の実現のための社会福祉法等の一部を改正する法律（令和2年法律第52号）」をいう。",市町村による地域福祉計画の策定,入所施設の重点的な拡充,医療・介護のデータ基盤の整備の推進,市町村直営の介護サービス事業の整備拡充,ロボット等の機械の活用から人によるケアへの転換,3,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
2022-34-009,2022,34,9,社会の理解,Ｃさん（78歳，男性，要支援1）は，公的年金（月額19万円）で公営住宅の,階で一人暮らしをしている。妻と死別後も通所型サービスを利用し，自炊を楽し,認知症対応型共同生活介護（認知症高齢者グループホーム）,介護付有料老人ホーム,軽費老人ホームＡ型,サービス付き高齢者向け住宅,4,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
2022-34-010,2022,34,10,社会の理解,介護保険制度の保険給付の財源構成として，適切なものを1つ選びなさい。,保険料,公費,公費，保険料，現役世代からの支援金,公費，第一号保険料,公費，第一号保険料，第二号保険料,5,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
2022-34-011,2022,34,11,社会の理解,「2016年（平成28年）生活のしづらさなどに関する調査（全国在宅障害児・者等実態調査）」（厚生労働省）における身体障害，知的障害，精神障害の近年の状況に関する次の記述のうち，正しいものを1つ選びなさい。,最も人数の多い障害は，知的障害である。,施設入所者の割合が最も高い障害は，身体障害である。,在宅の身体障害者のうち，65歳以上の割合は7割を超えている。,在宅の知的障害者の数は，減少傾向にある。,精神障害者の8割は，精神障害者保健福祉手帳を所持している。,3,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
2022-34-012,2022,34,12,社会の理解,"Ｅさん（30歳，女性，知的障害，障害支援区分2）は，現在，日中は特例子会社で働き，共同生活援助（グループホーム）で生活している。今後，一人暮らしをしたいと思っているが，初めてなので不安もある。
次のうち，Ｅさんが安心して一人暮らしをするために利用するサービスとして，適切なものを1つ選びなさい。",行動援護,同行援護,自立訓練（機能訓練）,自立生活援助,就労継続支援,4,,公益財団法人 社会福祉振興・試験センター 第34回（令和3年度）介護福祉士国家試験; 問題: https://drive.google.com/file/d/19u-KY0W0vdr8v-XjaISklvRwSv66XrdR/view; 正答: https://www.mhlw.go.jp/content/12004000/000917101.pdf,,true
